Frequency,IN2/IN1
100.000000	0.990071,-0.099144
112.201845	0.987532,-0.110952
125.892541	0.984355,-0.124101
141.253754	0.980384,-0.138678
158.489319	0.975430,-0.154812
177.827941	0.969264,-0.172610
199.526231	0.961609,-0.192118
223.872114	0.952148,-0.213458
251.188643	0.940497,-0.236579
281.838293	0.926228,-0.261422
316.227766	0.908868,-0.287811
354.813389	0.887918,-0.315483
398.107171	0.862879,-0.344002
446.683592	1.007972,-0.451826
501.187234	0.798818,-0.400915
562.341325	0.759266,-0.427548
630.957344	0.714715,-0.451554
707.945784	0.847164,-0.607391
794.328235	0.612524,-0.487205
891.250938	0.556675,-0.496794
1000.000000	0.499365,-0.500059
1122.018454	0.442027,-0.496604
1258.925412	0.386284,-0.486866
1412.537545	0.333284,-0.471346
1584.893192	0.284260,-0.451001
1778.279410	0.239779,-0.426925
1995.262315	0.200338,-0.400235
2238.721139	0.166006,-0.372045
2511.886432	0.276168,-0.714271
2818.382931	0.111574,-0.314812
3162.277660	0.114263,-0.375685
3548.133892	0.124926,-0.468450
3981.071706	0.092627,-0.404250
4466.835922	0.047625,-0.212926
5011.872336	0.057168,-0.298212
5623.413252	0.043263,-0.256336
6309.573445	0.034416,-0.220225
7079.457844	0.026183,-0.189623
7943.282347	0.019886,-0.163516
8912.509381	0.016931,-0.141076
10000.000000	0.013168,-0.122167
11220.184543	0.009323,-0.106126
12589.254118	0.007260,-0.092326
14125.375446	0.005799,-0.080515
15848.931925	0.004826,-0.070374
17782.794100	0.003850,-0.061662
19952.623150	0.002948,-0.054158
22387.211386	0.002508,-0.047633
25118.864315	0.001926,-0.041998
28183.829313	0.001594,-0.037071
31622.776602	0.001236,-0.032784
35481.338923	0.000979,-0.029024
39810.717055	0.000774,-0.025724
44668.359215	0.000646,-0.022812
50118.723363	0.000503,-0.020256
56234.132519	0.000411,-0.017992
63095.734448	0.000327,-0.015992
70794.578438	0.000260,-0.014223
79432.823472	0.000205,-0.012655
89125.093813	0.000167,-0.011260
100000.000000	0.000132,-0.010024
