Frequency,fra.csv-IN2/IN1
500.000000	0.442381,2.796187
539.887581	0.431233,2.578773
582.957201	0.414269,2.374535
629.462706	0.424233,2.198515
679.678195	0.426825,2.015050
733.899634	0.424273,1.853466
792.446596	0.418889,1.715123
855.664152	0.416887,1.557594
923.924899	0.418463,1.428235
997.631157	0.403363,1.298340
1077.217345	0.403881,1.195228
1163.152534	0.394624,1.083862
1255.943216	0.385382,0.990213
1356.136290	0.381106,0.897977
1464.322282	0.366785,0.808534
1581.138830	0.356582,0.726776
1707.274437	0.347939,0.658186
1843.472532	0.329617,0.585634
1990.535853	0.317814,0.523126
2149.331174	0.302890,0.462596
2320.794417	0.291874,0.409794
2505.936168	0.277387,0.360660
2705.847633	0.261419,0.315182
2921.707067	0.244546,0.276835
3154.786722	0.232068,0.240807
3406.460345	0.212882,0.205789
3678.211272	0.196622,0.179547
3971.641174	0.181515,0.150245
4288.479493	0.163157,0.129953
4630.593641	0.154902,0.111766
5000.000000	0.139638,0.092049
5398.875812	0.128566,0.076210
5829.572006	0.113226,0.061718
6294.627059	0.105051,0.049531
6796.781954	0.095552,0.038001
7338.996338	0.086276,0.031891
7924.465962	0.076723,0.023806
8556.641521	0.067176,0.017990
9239.248987	0.059598,0.013042
9976.311575	0.052272,0.007546
10772.173450	0.046177,0.003599
11631.525336	0.039822,0.001076
12559.432158	0.033909,-0.000301
13561.362897	0.028755,-0.003187
14643.222823	0.025632,-0.003897
15811.388301	0.020239,-0.004521
17072.744369	0.018104,-0.005173
18434.725323	0.014355,-0.005628
19905.358528	0.011250,-0.005476
21493.311735	0.009618,-0.004323
23207.944168	0.008245,-0.004759
25059.361681	0.006462,-0.003778
27058.476327	0.004833,-0.003717
29217.070669	0.004015,-0.003287
31547.867224	0.002561,-0.002868
34064.603453	0.002025,-0.002297
36782.112723	0.001689,-0.001722
39716.411736	0.001269,-0.001661
42884.794930	0.000836,-0.001549
46305.936406	0.000704,-0.001355
50000.000000	0.000654,-0.001000
